"pc_target","c_max","cens_prop","naive_est","mle_est","naive_est_mse","mle_est_mse","naive_bias","mle_bias","naive_var","mle_var"
0,Inf,0,0.0500736998197978,0.0500736998197978,5.02604156287095e-06,5.02604156287095e-06,7.36998197977679e-05,7.36998197977679e-05,5.02312146016281e-06,5.02312146016281e-06
0.1,184.016098175121,0.10803,0.056253433292032,0.050178185607892,4.56295113241562e-05,5.98285234396435e-06,0.00625343329203198,0.00017818560789204,6.52734705979209e-06,5.95407927274088e-06
0.5,30.1950013198364,0.515711,0.103597339504498,0.0501915116315778,0.00288631324116725,1.08499311077219e-05,0.0535973395044976,0.000191511631577782,1.36452618377935e-05,1.08186637345596e-05
